date,eco_seta_score,eco_seta_score_manual,combined_compound,eco_rsi,eco_macd_hist,eco_sentiment_z,eco_rsi_z,eco_macd_hist_z,w_sent,w_rsi,w_macd,eco_fwd_return,close,n_terms,n_rows
2026-03-24,,,0.08395091575171644,,0.0,,,,0.4,0.3,0.3,-0.059166241412549225,48971.199896145605,27,27
2026-03-25,,,0.09474252823466972,100.0,0.0006886954974876236,,,,0.4,0.3,0.3,-0.02234854306468448,49504.32202504493,27,27
2026-03-26,,,0.0919152798241314,79.24019906914941,0.0009022558721299423,,,,0.4,0.3,0.3,0.008074697433710476,47748.237953825745,27,27
2026-03-27,,,0.023411498999546126,13.140849170439964,-0.0033865637210104826,,,,0.4,0.3,0.3,0.005682807290247505,46073.75806082805,27,27
2026-03-28,,,0.02399269558566465,13.75124698232402,-0.0058560003153527275,,,,0.4,0.3,0.3,-0.02123917050699209,48397.972552380204,27,27
2026-03-29,,,0.028244823480350487,17.968792305775878,-0.006808013677114675,,,,0.4,0.3,0.3,-0.017494339598082997,48133.7905282957,27,27
2026-03-30,,,0.046570787189122845,32.2476047905937,-0.005845353277619316,,,,0.4,0.3,0.3,0.002354037649582308,46335.58634902522,27,27
2026-03-31,,,0.024477044962271415,26.65414839709645,-0.0062992451693205005,,,,0.4,0.3,0.3,0.03142199051272354,47370.03976114748,27,27
2026-04-01,,,0.08292976245288189,49.72524292415852,-0.0024625666890824545,,,,0.4,0.3,0.3,0.03838052734172015,47291.7216506507,27,27
2026-04-02,,,0.05509504578188807,43.24734380444748,-0.0016388166250222574,-0.014479205958271088,,0.4751580523319642,0.4,0.3,0.3,0.08411517815035241,46444.662063806296,27,27
2026-04-03,-1.1268068503354118,-1.1268068503354118,-0.023121156798996012,31.658159846500837,-0.005958187597484437,-1.9206815060562037,-0.3166257119069041,-0.8784884478028638,0.4,0.3,0.3,-0.02159595403945158,48858.50070110959,27,27
2026-04-04,-0.7422158718072829,-0.7422158718072829,0.0050201619481081705,37.667864663973816,-0.006473670177686495,-1.0560752401614237,-0.10309053082187215,-0.9628620549871725,0.4,0.3,0.3,0.016801489841491435,49106.80286650052,27,27
2026-04-05,0.27079087406947816,0.27079087406947816,0.058716494516468175,46.62385924065997,-0.002932310673810985,0.3552270538537143,0.215817804516365,0.21318237057694314,0.4,0.3,0.3,-0.019769035892805653,50351.36308743627,27,27
2026-04-06,0.7139779624025324,0.7139779624025324,0.07117542880861213,48.345897928176655,0.0003411638465248244,0.6631438115006464,0.27081629520490896,1.224918497469337,0.4,0.3,0.3,0.04277793341781222,47803.35476553191,27,27
2026-04-07,1.1912549024745647,1.1912549024745647,0.09455629680409053,51.294738852333076,0.00397136701735795,1.2071666147755702,0.37329635652171295,1.9879978320260758,0.4,0.3,0.3,0.01491179922515995,49931.87031601015,27,27
2026-04-08,1.218043005266975,1.218043005266975,0.09793368879255365,50.39676982968869,0.006349232890741085,1.195927646997331,0.3243337432045675,2.1412394116889084,0.4,0.3,0.3,0.08052311230260556,49355.965183309054,27,27
2026-04-09,1.4292819068628073,1.4292819068628073,0.11952717427117644,53.28003308806301,0.008965543693918335,1.5803318091259313,0.43126919404935593,2.2258947499920936,0.4,0.3,0.3,0.035706664476756966,49848.283492839895,27,27
2026-04-10,1.0715735768681292,1.0715735768681292,0.09139179000749537,58.9320731958376,0.008400141245225215,0.8216956392061375,0.6509581752584042,1.825359562027177,0.4,0.3,0.3,0.020063005172673565,50676.44434109922,27,27
2026-04-11,1.1335980364281188,1.1335980364281188,0.1044664369283559,60.23750815085787,0.008480924195911087,1.0891583478910716,0.6804689724209522,1.645980018484682,0.4,0.3,0.3,-0.034220231881979646,53330.261110568135,27,27
2026-04-12,0.4337402658265266,0.4337402658265266,0.06270013049065908,54.00133157050595,0.005443337593840109,0.021403181687453764,0.38572812510043886,1.0315351854047115,0.4,0.3,0.3,0.0064419535134128125,51628.19942626099,27,27
2026-04-13,0.3168950498552965,0.3168950498552965,0.06532695501782967,52.26060248515818,0.0034311121182920797,0.08827789065927887,0.2967538058797018,0.6418591727589146,0.4,0.3,0.3,0.009637577082222348,51693.1661060474,27,27
2026-04-14,0.30761499123485425,0.30761499123485425,0.06764219558851618,55.462969871422665,0.0021393425580296848,0.14724874415353306,0.4368824684289319,0.39216917681587155,0.4,0.3,0.3,0.03942260311435475,51505.287209037975,27,27
2026-04-15,1.176444768391694,1.176444768391694,0.13634040019415428,56.58876734446518,0.005598387190383117,1.8326005754814714,0.4781432127492876,0.999871914581064,0.4,0.3,0.3,0.06361429067509672,51960.78588694616,27,27
2026-04-16,0.6766650692550633,0.6766650692550633,0.0964098731850437,54.94893058482389,0.0049086295527009565,0.7725349044895259,0.3871557467049233,0.83834794482592,0.4,0.3,0.3,0.03215528158090364,52191.36297901856,27,27
2026-04-17,0.942690692510638,0.942690692510638,0.10633481043306818,68.54030389634929,0.004825112760725872,0.9898530870326231,1.0270935615510735,0.7954046307742219,0.4,0.3,0.3,-0.016151185747912744,53535.75970497073,27,27
2026-04-18,0.4123523014251993,0.4123523014251993,0.07928449101858799,60.66926075238929,0.0027552821669821603,0.2784540827247725,0.6128651458585103,0.3903704152591241,0.4,0.3,0.3,-0.040906535096423724,55266.23442406482,27,27
2026-04-19,0.3148381644868627,0.3148381644868627,0.08562145436634239,54.47416715976137,0.0016733910452505704,0.43719320145606144,0.2902758635095964,0.17626041617186397,0.4,0.3,0.3,0.007926872712696875,53869.59095170005,27,27
2026-04-20,0.3029924877829927,0.3029924877829927,0.08994478630118534,53.208059540337125,0.0011351165161033565,0.5412626175432513,0.22011753825322983,0.06817393096574396,0.4,0.3,0.3,0.031724875595680935,52671.09370582013,27,27
2026-04-21,0.2267952192321904,0.2267952192321904,0.09111629917207029,49.36372946323393,0.0007620586862704583,0.56042342299492,0.015933129282423287,-0.007180295835015306,0.4,0.3,0.3,0.01448283741795997,53005.484265949635,27,27
2026-04-22,0.6451848530942177,0.6451848530942177,0.11766995866590084,53.362211156528296,0.002130204204936252,1.2395863829496436,0.2279415438469099,0.2698927892009578,0.4,0.3,0.3,0.04336348542258062,54296.60834225922,27,27
2026-04-23,0.5702364406339728,0.5702364406339728,0.11560913701465209,49.28494796334156,0.0026870172965722406,1.1382279294043895,0.0036763959495311137,0.379474500291192,0.4,0.3,0.3,0.056342054569739286,54342.07760112573,27,27
2026-04-24,-0.14402086178431367,-0.14402086178431367,0.07036702266432435,46.38843292953906,-5.573959791510454e-05,-0.09314462336776332,-0.15586453058016253,-0.20001217754386535,0.4,0.3,0.3,-0.0011972398667590145,53773.15407683362,27,27
