date,level,name,term,combined_compound,rsi,macd_hist,asset_seta_score,universe,weighting,seta_score
2026-03-24,asset,AAPL,AAPL,0.2996945355990607,,0.0,,stocks,mcap,
2026-03-25,asset,AAPL,AAPL,0.3536349941274317,,0.06254131054131448,,stocks,mcap,
2026-03-26,asset,AAPL,AAPL,0.1957840903299806,,0.11555069845212074,,stocks,mcap,
2026-03-27,asset,AAPL,AAPL,0.2858470655159909,,-0.11870155544625413,,stocks,mcap,
2026-03-28,asset,AAPL,AAPL,0.21812055238884726,,-0.0949612443570033,,stocks,mcap,
2026-03-29,asset,AAPL,AAPL,0.40794411411843706,,-0.07596899548560265,,stocks,mcap,
2026-03-30,asset,AAPL,AAPL,0.2505973377386356,,-0.5077116633089018,,stocks,mcap,
2026-03-31,asset,AAPL,AAPL,0.1498163727475953,,-0.15648950435805076,,stocks,mcap,
2026-04-01,asset,AAPL,AAPL,0.34086628714388595,,0.19104575094837506,,stocks,mcap,
2026-04-02,asset,AAPL,AAPL,0.2026705030241458,,0.41869894329131413,,stocks,mcap,
2026-04-03,asset,AAPL,AAPL,0.22134336611761307,,0.3349591546330513,,stocks,mcap,
2026-04-04,asset,AAPL,AAPL,0.2839530376721532,,0.26796732370644105,,stocks,mcap,
2026-04-05,asset,AAPL,AAPL,0.3716182574995328,,0.21437385896515282,,stocks,mcap,
2026-04-06,asset,AAPL,AAPL,0.2893701441875902,,0.8682001953752144,,stocks,mcap,
2026-04-07,asset,AAPL,AAPL,0.3085435666719275,,0.5976122620636302,,stocks,mcap,
2026-04-08,asset,AAPL,AAPL,0.16012091206861526,,0.7364752131219199,,stocks,mcap,
2026-04-09,asset,AAPL,AAPL,0.25060540292724487,,0.8798707456372192,,stocks,mcap,
2026-04-10,asset,AAPL,AAPL,0.28631183541131955,,0.9144765161176331,,stocks,mcap,
2026-04-11,asset,AAPL,AAPL,0.31251619666222197,,0.7315812128941066,,stocks,mcap,
2026-04-12,asset,AAPL,AAPL,0.3341461501401212,,0.5852649703152852,,stocks,mcap,
2026-04-13,asset,AAPL,AAPL,0.2138230685016701,,0.6017100998219167,,stocks,mcap,
2026-04-14,asset,AAPL,AAPL,0.330816031673663,,0.4742788191172296,,stocks,mcap,
2026-04-15,asset,AAPL,AAPL,0.24191388273009135,,0.838511778329722,,stocks,mcap,
2026-04-16,asset,AAPL,AAPL,0.2254153239216711,,0.8115237600766512,,stocks,mcap,
2026-04-17,asset,AAPL,AAPL,0.2623187044617285,75.64901438771369,1.1681333073089926,,stocks,mcap,
2026-04-18,asset,AAPL,AAPL,0.3476125204023241,75.64901438771369,0.9345066458471942,,stocks,mcap,
2026-04-19,asset,AAPL,AAPL,0.3578518152841398,75.64901438771369,0.7476053166777552,,stocks,mcap,
2026-04-20,asset,AAPL,AAPL,0.2488693261389465,75.64901438771369,1.4790728226572178,,stocks,mcap,
2026-04-21,asset,AAPL,AAPL,0.2707854579601102,60.507287564386715,1.0766656587308843,,stocks,mcap,
2026-04-22,asset,AAPL,AAPL,0.2287924626322649,66.49519499594359,1.1825982544409461,,stocks,mcap,
2026-04-23,asset,AAPL,AAPL,0.3132339964828068,66.69717074940607,1.168768766832942,,stocks,mcap,
2026-04-24,asset,AAPL,AAPL,0.413278422182844,62.970759720384486,0.9100953738932169,,stocks,mcap,
2026-04-25,asset,AAPL,AAPL,0.26086473023436807,62.970759720384486,0.7280762991145728,,stocks,mcap,
2026-04-26,asset,AAPL,AAPL,0.362216618582333,62.970759720384486,0.5824610392916583,,stocks,mcap,
2026-04-27,asset,AAPL,AAPL,0.28005919412235036,62.970759720384486,0.14209977893536863,,stocks,mcap,
2026-04-28,asset,AAPL,AAPL,0.26634724447849806,66.28482350975584,0.04318345600287987,,stocks,mcap,
2026-04-29,asset,AAPL,AAPL,0.3147027340159405,65.39018631270578,-0.09851291930128792,,stocks,mcap,
2026-04-30,asset,AAPL,AAPL,0.3250699127033229,66.45561791398748,-0.14960413187244725,,stocks,mcap,
2026-05-01,asset,AAPL,AAPL,0.36250902228440474,73.09896389947963,0.3447659017617557,,stocks,mcap,
2026-05-02,asset,AAPL,AAPL,0.32316789182972566,73.09896389947963,0.2758127214094044,,stocks,mcap,
2026-05-03,asset,AAPL,AAPL,0.3108245643688021,73.09896389947963,0.22065017712752333,,stocks,mcap,
2026-05-04,asset,AAPL,AAPL,0.296087178257261,73.09896389947963,0.4280229263637345,,stocks,mcap,
2026-05-05,asset,AAPL,AAPL,0.2700240137254351,77.99943752962275,0.8166365027791098,,stocks,mcap,
2026-05-06,asset,AAPL,AAPL,0.32218578558684086,79.48529601005119,1.1827544432961687,1.158401806309415,stocks,mcap,
2026-05-07,asset,AAPL,AAPL,0.25501093283826665,79.36395559994186,1.2959042540189722,0.7235856294539992,stocks,mcap,
2026-05-08,asset,AAPL,AAPL,0.34066081845153073,81.86793068146494,1.6213285135302566,1.5168463985525444,stocks,mcap,
2026-05-09,asset,AAPL,AAPL,0.40149788919055784,81.86793068146494,1.2970628108242055,1.6346781622098725,stocks,mcap,
2026-05-10,asset,AAPL,AAPL,0.4020144636749384,81.86793068146494,1.0376502486593644,1.4134843721012151,stocks,mcap,
2026-05-11,asset,AAPL,AAPL,0.3118575904425137,81.86793068146494,1.484863435414539,1.0563714721021609,stocks,mcap,
2026-05-12,asset,AAPL,AAPL,0.23993564171975862,82.87559593672825,1.4566901363472988,0.5790018811755783,stocks,mcap,
2026-05-13,asset,AAPL,AAPL,0.27749203869794603,84.34168000590178,1.5538761608030827,0.8846529903269027,stocks,mcap,
2026-05-14,asset,AAPL,AAPL,0.2709359164669613,83.09924213541446,1.4191411806903353,0.6843540002440487,stocks,mcap,
2026-05-15,asset,AAPL,AAPL,0.26995596227029434,83.88184232755383,1.3139024674847661,0.6223389685264417,stocks,mcap,
2026-05-16,asset,AAPL,AAPL,0.4402469178726568,83.88184232755383,1.0511219739878115,1.5231345975685662,stocks,mcap,
2026-05-17,asset,AAPL,AAPL,0.6137091204722063,83.88184232755383,0.8408975791902478,2.1163354430971526,stocks,mcap,
2026-05-18,asset,AAPL,AAPL,0.32835618225291024,83.88184232755383,0.7073866529199613,0.5240555820598851,stocks,mcap,
2026-05-19,asset,AAPL,AAPL,0.41602479051729974,84.42451886961355,0.43456514986158545,0.8252918486469115,stocks,mcap,
2026-05-20,asset,AAPL,AAPL,0.4014871059439639,85.65482489776186,0.36489015420718296,0.7293917645284775,stocks,mcap,
2026-05-21,asset,AAPL,AAPL,0.44311201389567606,86.60657868573549,0.39090273526382546,0.9552640253799086,stocks,mcap,
2026-05-22,asset,AAPL,AAPL,0.22098580567980183,87.81987782186235,0.5435589436616421,-0.060049107625246526,stocks,mcap,
2026-05-23,asset,AAPL,AAPL,,87.81987782186235,0.43484715492931336,,stocks,mcap,
2026-03-24,asset,AFRM,AFRM,0.5037077092198035,,0.0,,stocks,mcap,
2026-03-25,asset,AFRM,AFRM,0.20628570265173912,,0.01659259259259329,,stocks,mcap,
2026-03-26,asset,AFRM,AFRM,0.6891073310228065,,-0.05049631740002496,,stocks,mcap,
2026-03-27,asset,AFRM,AFRM,-0.02341428571428572,,-0.17406128884836083,,stocks,mcap,
2026-03-28,asset,AFRM,AFRM,,,-0.13924903107868866,,stocks,mcap,
2026-03-29,asset,AFRM,AFRM,,,-0.11139922486295092,,stocks,mcap,
2026-03-30,asset,AFRM,AFRM,0.19763495652228596,,-0.1972816627556831,,stocks,mcap,
2026-03-31,asset,AFRM,AFRM,0.12991268623918295,,-0.02547351284435248,,stocks,mcap,
2026-04-01,asset,AFRM,AFRM,0.836,,0.06723190132370657,,stocks,mcap,
2026-04-02,asset,AFRM,AFRM,0.14346678603061488,,0.1723527941092227,,stocks,mcap,
2026-04-03,asset,AFRM,AFRM,0.6701589429725427,,0.13788223528737814,,stocks,mcap,
2026-04-04,asset,AFRM,AFRM,0.7604910319093615,,0.11030578822990253,,stocks,mcap,
2026-04-05,asset,AFRM,AFRM,-0.3388487273275852,,0.08824463058392203,,stocks,mcap,
2026-04-06,asset,AFRM,AFRM,-0.20793382477611302,,0.4721412386896472,,stocks,mcap,
2026-04-07,asset,AFRM,AFRM,0.49638,,0.4561746825108534,,stocks,mcap,
2026-04-08,asset,AFRM,AFRM,0.4938141691036523,,0.5741785902659369,,stocks,mcap,
2026-04-09,asset,AFRM,AFRM,0.5154,,0.5638032595325565,,stocks,mcap,
2026-04-10,asset,AFRM,AFRM,-0.607135220515728,,0.4926428319627185,,stocks,mcap,
2026-04-11,asset,AFRM,AFRM,0.80545,,0.3941142655701748,,stocks,mcap,
2026-04-12,asset,AFRM,AFRM,0.8288666666666668,,0.3152914124561399,,stocks,mcap,
2026-04-13,asset,AFRM,AFRM,0.3407,,0.6284925271526384,,stocks,mcap,
2026-04-14,asset,AFRM,AFRM,0.4646,,0.9003718850043589,,stocks,mcap,
2026-04-15,asset,AFRM,AFRM,0.4939,,1.2553950427402905,,stocks,mcap,
2026-04-16,asset,AFRM,AFRM,0.25943333333333335,,1.440671459273927,,stocks,mcap,
2026-04-17,asset,AFRM,AFRM,0.17282,85.40611985899024,1.7337487125706939,,stocks,mcap,
2026-04-18,asset,AFRM,AFRM,0.6072,85.40611985899024,1.3869989700565548,,stocks,mcap,
2026-04-19,asset,AFRM,AFRM,0.4939,85.40611985899024,1.109599176045244,,stocks,mcap,
2026-04-20,asset,AFRM,AFRM,0.17,85.40611985899024,1.8180338613595213,,stocks,mcap,
2026-04-21,asset,AFRM,AFRM,0.33956666666666663,73.04011092978087,1.6445952046582795,,stocks,mcap,
2026-04-22,asset,AFRM,AFRM,0.06743333333333333,75.54152856756613,1.5416613646031907,,stocks,mcap,
2026-04-23,asset,AFRM,AFRM,0.35015,63.92761469949978,1.1286982175039073,,stocks,mcap,
2026-04-24,asset,AFRM,AFRM,0.0,65.11487783437774,0.8174590469940801,,stocks,mcap,
2026-04-25,asset,AFRM,AFRM,,65.11487783437774,0.6539672375952641,,stocks,mcap,
2026-04-26,asset,AFRM,AFRM,0.1531,65.11487783437774,0.5231737900762106,,stocks,mcap,
2026-04-27,asset,AFRM,AFRM,0.41335,65.11487783437774,0.4816356384742022,,stocks,mcap,
2026-04-28,asset,AFRM,AFRM,0.9042,58.249880111036845,0.16803756302765027,,stocks,mcap,
2026-04-29,asset,AFRM,AFRM,0.7579,58.86805227291064,-0.06339233914876274,,stocks,mcap,
2026-04-30,asset,AFRM,AFRM,0.34835,58.86805227291064,-0.05071387131901073,,stocks,mcap,
2026-05-01,asset,AFRM,AFRM,,58.86805227291064,-0.040571097055209115,,stocks,mcap,
2026-05-02,asset,AFRM,AFRM,,58.86805227291064,-0.032456877644167825,,stocks,mcap,
2026-05-03,asset,AFRM,AFRM,0.8097,58.86805227291064,-0.025965502115334438,,stocks,mcap,
2026-05-04,asset,AFRM,AFRM,0.17556666666666665,58.86805227291064,-0.020772401692267906,,stocks,mcap,
2026-05-05,asset,AFRM,AFRM,0.39165,58.86805227291064,-0.01661792135381468,,stocks,mcap,
2026-05-06,asset,AFRM,AFRM,-0.46535992093384265,58.86805227291064,-0.013294337083052277,-1.373533874826447,stocks,mcap,
2026-05-07,asset,AFRM,AFRM,0.135025,58.86805227291064,-0.010635469666442354,-0.6894209905860207,stocks,mcap,
2026-05-08,asset,AFRM,AFRM,0.54915,58.86805227291064,-0.008508375733153883,-0.21690043271467266,stocks,mcap,
2026-05-09,asset,AFRM,AFRM,0.6763333333333333,58.86805227291064,-0.006806700586523107,-0.06990132996091167,stocks,mcap,
2026-05-10,asset,AFRM,AFRM,0.4215,58.86805227291064,-0.005445360469218841,-0.3478586013709807,stocks,mcap,
2026-05-11,asset,AFRM,AFRM,0.40090824022858096,58.86805227291064,-0.004356288375375605,-0.36205405685947434,stocks,mcap,
2026-05-12,asset,AFRM,AFRM,0.1171,58.86805227291064,-0.0034850307003004843,-0.6765626362342013,stocks,mcap,
2026-05-13,asset,AFRM,AFRM,0.21364,58.86805227291064,-0.0027880245602407427,-0.5538041999985527,stocks,mcap,
2026-05-14,asset,AFRM,AFRM,0.2961416666666667,58.86805227291064,-0.002230419648192594,-0.44836059407017304,stocks,mcap,
